"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Reptéri munkatárs (részmunkaidő 4 óra)","UPS","Vecsés, Pest, Hungary","","Part-time","Logistics & Supply Chain","Public Relations & Communications","International Trade & Development","Other","","",
"Checker","United Supermarkets, LLC","Kisharsány, Baranya, Hungary","","","","","","","","",
"Performance Analyst","bp","Budapest, Budapest, Hungary","","","","","","","","",
"IT Managerial Development Program (12 months, part-time, full-time)","Procter & Gamble","Gyöngyös, Heves, Hungary","","","","","","","","",
"Internist","Medicover Hungary","Paks, Tolna, Hungary","","","","","","","","",
"Junior HR tanácsadó","HumanField Executive and Specialist Search","","","","","","","","","",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","","","","","","","","",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"RWS is looking for English>Hungarian Freelance translators","RWS Group","Hungary","Associate","Part-time","Translation & Localization","","","Quality Assurance","Project Management","Art/Creative",
"Test Engineer","Akka Technologies","Hungary","","","","","","","","",
"Master Data Specialist (part-time, fixed term)","GE Power","Pest, Hungary","","","","","","","","",
"L1 Technical Support Agent - Part Time (Budapest)","Instructure","Budapest, Budapest, Hungary","","","","","","","","",
"Finance and Accounting Intern","Roche","Budapest, Budapest, Hungary","Internship","Part-time","Hospital & Health Care","","","Education","Training","",
"Regulatory Reporting Senior Analyst - part time","Citi","Budapest, Budapest, Hungary","","","","","","","","",
"Financial Operations Intern","Vodafone","","","","","","","","","",
"International Mobility Controller (Part-time 20 hrs/week, 1-year Fixed-term)","_VOIS","Budapest, Budapest, Hungary","","","","","","","","",
"Financial Controlling Trainee","Diageo","Budapest, Budapest, Hungary","","","","","","","","",
"Automotive Support Engineer with Italian","MSX International","Budapest, Budapest, Hungary","","","","","","","","",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking)","Instructure","Budapest, Budapest, Hungary","","","","","","","","",
"Search Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","","","","","","","","",
"CVM Consumer Segment Intern","Vodafone","","","","","","","","","",
"Automotive Support Engineer with Dutch","MSX International","Budapest, Budapest, Hungary","","","","","","","","",
"Search Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","","","","","","","","",
"Wholesale Fixed Customer Care Intern","Vodafone","","","","","","","","","",
"Social Media Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","","","","","","","","",
