"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Service Operations Apprentice","GE Healthcare","Budapest, Budapest, Hungary","","","","","","","","",
"Social Media Marketing – Virtual Intern or CO-OP","GAOTek Inc.","Budapest, Budapest, Hungary","","","","","","","","",
"Technical Design Specialist-Cisco Contact Centre (Budapest or Debrecen) remote work is possible - PBS International Kft.","PBS International Kft.","Debrecen, Hajdú-Bihar, Hungary","","","","","","","","",
"Diákmunka - Trainee at Back Office Services Team - Budapest","MŰISZ Iskolaszövetkezet","","","","","","","","","",
"Native German learning content specialist (part-time or full-time)","Xeropan","Debrecen, Hajdú-Bihar, Hungary","","","","","","","","",
"Junior Credit Intern","Mind-Diak Szövetkezet","","","","","","","","","",
"Social Media Marketing – Virtual Intern or CO-OP","GAOTek Inc.","Budapest, Hungary","","","","","","","","",
"Contact center representative (english & italian) - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","","","","","","","","",
"Diákmunka - Student Accountant - Budapest","MŰISZ Iskolaszövetkezet","","","","","","","","","",
"Cash Collection Intern - Budapest","Mind-Diak Szövetkezet","","","","","","","","","",
"Contact center representative (english & romanian) - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","","","","","","","","",
"Cash Collection Intern","Mind-Diak Szövetkezet","","","","","","","","","",
"Cash Collection Intern","PRODIÁK Iskolaszövetkezet","Budapest, Budapest, Hungary","","","","","","","","",
"Sales Support Intern - Budapest","Mind-Diak Szövetkezet","","","","","","","","","",
"Contact center representative (english & german) - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","","","","","","","","",
