"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Visual Artist","Edgite","","","Full-time","","","","","","",
"Business Analyst","Accenture Hungary","","Mid-Senior level","Full-time","Management Consulting","","","Management","Strategy/Planning","Consulting",
"Part-Time Opportunities (Work From Home) - Highly Needed!","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Research","Writing/Editing","",
"Gazdasági Igazgató","Moholy-Nagy University of Art and Design, Budapest","","","Full-time","","","","","","",
"Customs Operation Expert","Alibaba Group","Budapest, Hungary","Mid-Senior level","Full-time","Logistics & Supply Chain","Information Technology & Services","","Supply Chain","Distribution","",
"SUPPLY CHAIN MANAGERIAL TRAINEE","Procter & Gamble","Budapest, Budapest, Hungary","","Part-time","Consumer Goods","","","Management","Manufacturing","",
"Távközlés ABC-je ,Budapest","Huawei","Budapest, Hungary","Entry level","Full-time","Telecommunications","","","Information Technology","Engineering","",
"Personal Assistant","Magyar Posta","","Associate","Full-time","Package/Freight Delivery","","","Administrative","","",
"Internship Program – HUN","Agoda","","Internship","Full-time","Internet","","","Education","Training","",
"Project Assistant – Remote Dubai","EPAM Systems","","Mid-Senior level","Full-time","Information Technology & Services","Computer Software","Internet","Project Management","Information Technology","",
"TOP MANAGEMENT TEAM","Top Line Europa","Budapest, Hungary","","Full-time","","","","","","",
"Stratégiai beszerző","KESZ Group","","Mid-Senior level","Full-time","Construction","","","Purchasing","","",
"Early Careers and Campus Co-ordinator","AMS","Budapest, Hungary","Associate","Full-time","Human Resources","","","Human Resources","Other","",
"Workplace Technician","WarnerMedia","Budapest, Hungary","Mid-Senior level","Full-time","Entertainment","","","Information Technology","","",
"Pre - Sales Support Associate","ManpowerGroup Hungary","Budapest, Hungary","Entry level","Full-time","Computer Software","Information Technology & Services","","Administrative","Information Technology","",
"Accounts Payable Associate","Tesco","Budapest, Budapest, Hungary","Entry level","Full-time","Retail","","","Accounting/Auditing","Finance","",
"Research Analyst","Wealth-X","Budapest, Hungary","Associate","Full-time","Research","","","Research","","",
"Team Assistant","Tungsram Group","","Mid-Senior level","Full-time","Electrical & Electronic Manufacturing","","","Administrative","","",
"Onboarding - People Lead","Betsson Group","Budapest, Budapest, Hungary","","Full-time","Internet","","","Other","","",
"","","","","","","","","","","",
