"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Visual Artist","Edgite","","","Full-time","","","","","","",
"Business Analyst","Accenture Hungary","","Mid-Senior level","Full-time","Management Consulting","","","Management","Strategy/Planning","Consulting",
"Part-Time Opportunities (Work From Home) - Highly Needed!","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Research","Writing/Editing","",
"Gazdasági Igazgató","Moholy-Nagy University of Art and Design, Budapest","","","Full-time","","","","","","",
"Customs Operation Expert","Alibaba Group","Budapest, Hungary","Mid-Senior level","Full-time","Logistics & Supply Chain","Information Technology & Services","","Supply Chain","Distribution","",
"SUPPLY CHAIN MANAGERIAL TRAINEE","Procter & Gamble","Budapest, Budapest, Hungary","","Part-time","Consumer Goods","","","Management","Manufacturing","",
"Távközlés ABC-je ,Budapest","Huawei","Budapest, Hungary","Entry level","Full-time","Telecommunications","","","Information Technology","Engineering","",
"Personal Assistant","Magyar Posta","","Associate","Full-time","Package/Freight Delivery","","","Administrative","","",
"Internship Program – HUN","Agoda","","Internship","Full-time","Internet","","","Education","Training","",
"Project Assistant – Remote Dubai","EPAM Systems","","Mid-Senior level","Full-time","Information Technology & Services","Computer Software","Internet","Project Management","Information Technology","",
"TOP MANAGEMENT TEAM","Top Line Europa","Budapest, Hungary","","Full-time","","","","","","",
"Stratégiai beszerző","KESZ Group","","Mid-Senior level","Full-time","Construction","","","Purchasing","","",
"Early Careers and Campus Co-ordinator","AMS","Budapest, Hungary","Associate","Full-time","Human Resources","","","Human Resources","Other","",
"Workplace Technician","WarnerMedia","Budapest, Hungary","Mid-Senior level","Full-time","Entertainment","","","Information Technology","","",
"Data Engineer","Tata Consultancy Services","","Associate","Full-time","Information Technology & Services","","","Information Technology","","",
"Pre - Sales Support Associate","ManpowerGroup Hungary","Budapest, Hungary","Entry level","Full-time","Computer Software","Information Technology & Services","","Administrative","Information Technology","",
"Research Analyst","Wealth-X","Budapest, Hungary","Associate","Full-time","Research","","","Research","","",
"Team Assistant","Tungsram Group","","Mid-Senior level","Full-time","Electrical & Electronic Manufacturing","","","Administrative","","",
"Accounts Payable Associate","Tesco","Budapest, Budapest, Hungary","Entry level","Full-time","Retail","","","Accounting/Auditing","Finance","",
"Onboarding - People Lead","Betsson Group","Budapest, Budapest, Hungary","","Full-time","Internet","","","Other","","",
"Kommunikációs munkatárs","Pázmány Péter Katolikus Egyetem","","","Full-time","","","","","","",
"Customer Success Specialist with weekend/holiday shifts","SEON. Fraud Fighters","","Mid-Senior level","Full-time","Computer Networking","","","Customer Service","Consulting","Information Technology",
"Senior Financial Analyst","Apple","Budapest, Budapest, Hungary","","Full-time","Consumer Electronics","","","Finance","Sales","",
"Recruitment Intern","eu-LISA","Budapest, Hungary","Internship","Full-time","Information Technology & Services","","","Writing/Editing","Human Resources","Administrative",
"Dual Student position","IBM","Budapest, Budapest, Hungary","","Full-time","Computer Hardware","","","Information Technology","","",
"EU-s pályázatíró és projektmenedzser","Magyar Nemzeti Levéltár - National Archives of Hungary","Budapest, Hungary","","Full-time","","","","","","",
"Szoftverfejlesztő - képfeldolgozás","3DHISTECH - The Digital Pathology Company","","Mid-Senior level","Full-time","Medical Device","Information Technology & Services","Research","Information Technology","Research","Science",
"RunSecOps Operator","Deloitte","Budapest, Hungary","Mid-Senior level","Full-time","Information Technology & Services","Financial Services","","Information Technology","Finance","",
"Tanácsadó energiaipari területen","IFUA Horváth","Budapest, Hungary","","Full-time","","","","","","",
"Laboratóriumi asszisztens","Semmelweis_MolecularImaging","","","Full-time","","","","","","",
"Outreach Specialist (Remote - work from anywhere in CEE)","Confidential","Budapest, Hungary","","Full-time","","","","","","",
"Irodavezető","Kulturális/szórakoztató cég","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"Junior részvényelemző","KBC Securities Hungary","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"3D Artist","DBOX","Budapest, Hungary","","Full-time","","","","","","",
"Termékmenedzser (társadalmi célú startup)","Access4you","Budapest, Hungary","","Full-time","","","","","","",
"Team Assistant","Mind-Diak Szövetkezet","","Entry level","Full-time","Marketing & Advertising","Information Technology & Services","Internet","Administrative","","",
"Attendant-Food & Beverage","The Ritz-Carlton Hotel Company, L.L.C.","Budapest, Budapest, Hungary","Entry level","Full-time","Hospitality","Leisure, Travel & Tourism","Food & Beverages","Production","Other","Customer Service",
"Sitebuilder","Groupama Biztosító Zrt.","Budapest, Hungary","Mid-Senior level","Full-time","Insurance","","","Marketing","","",
"junior recruitment consultant","Randstad Hungary","Budapest, Budapest, Hungary","Entry level","Full-time","Human Resources","","","Human Resources","","",
"Screening Agent","Wise","","Entry level","Full-time","Computer Software","Internet","Financial Services","Sales","Business Development","",
"Előkészítő mérnök","Art N Bau Kft.","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"Event Executive","Marriott Hotels","Budapest, Budapest, Hungary","Associate","Full-time","Hospitality","Leisure, Travel & Tourism","Food & Beverages","Management","Manufacturing","",
"Könyvelő asszisztens","Nueva Könyvelő és Adótanácsadó Kft.","","","Full-time","","","","","","",
"Resource Coordinator","Andovar","Budapest, Hungary","","Full-time","","","","","","",
"Administration & Employment Associate","Hays","Budapest, Budapest, Hungary","","Full-time","Accounting","Human Resources","Staffing & Recruiting","Accounting/Auditing","Human Resources","",
"IAM rendszermérnök","Balasys","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"Jogi és értékesítési asszisztens","Molaris Kft.","","Associate","Full-time","Information Technology & Services","","","Legal","Sales","Administrative",
"Documentation Analyst","Morgan Stanley","Budapest, Hungary","","Contract","Financial Services","","","Administrative","","",
"Sales Professional","NUBU Studio","","","Full-time","","","","","","",
"Secure Login Support Representative (Spanish speaking)","Interactive Brokers","Budapest, Budapest, Hungary","Entry level","Full-time","Information Technology & Services","Computer Software","Financial Services","Customer Service","Information Technology","",
"Regulatory and Start-up Specialist I or II, Hungary","IQVIA","Budapest, Budapest, Hungary","Associate","Full-time","Pharmaceuticals","Hospital & Health Care","","Legal","Health Care Provider","Research",
"Frontend Architect","Work Force Hungary","","Mid-Senior level","Full-time","Information Technology & Services","","","Information Technology","","",
"French Speaking Senior Project Manager (Budapest or Debrecen)","BT","","","Full-time","Telecommunications","","","Sales","Administrative","Customer Service",
"Italian & English Speaking Order Fulfillment Specialist","Albemarle Corporation","","Entry level","Full-time","Construction","Oil & Energy","Financial Services","Education","Training","",
"Head Of Operations","CBRE Hungary","","","Full-time","","","","","","",
"Front-End Engineer - remote in Hungary","Revolut","Budapest, Budapest, Hungary","Entry level","Full-time","Information Technology & Services","Computer Software","Financial Services","Engineering","Information Technology","",
"Junior Financial Accountant","bp","Budapest, Budapest, Hungary","Entry level","Full-time","Oil & Energy","","","Finance","","",
"Support Consultant","Boyum IT Solutions","Budapest, Hungary","Mid-Senior level","Full-time","Information Technology & Services","Logistics & Supply Chain","Computer Software","Information Technology","","",
"","","","","","","","","","","",
