"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
