"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Előkészítő mérnök","Art N Bau Kft.","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"Tanácsadó energiaipari területen","IFUA Horváth","Budapest, Hungary","","Full-time","","","","","","",
"Business Analyst","Accenture Hungary","","Mid-Senior level","Full-time","Management Consulting","","","Management","Strategy/Planning","Consulting",
"Visual Artist","Edgite","","","Full-time","","","","","","",
"Part-Time Opportunities (Work From Home) - Highly Needed!","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Research","Writing/Editing","",
"Personal Assistant","Magyar Posta","","Associate","Full-time","Package/Freight Delivery","","","Administrative","","",
"Szoftverfejlesztő - képfeldolgozás","3DHISTECH - The Digital Pathology Company","","Mid-Senior level","Full-time","Medical Device","Information Technology & Services","Research","Information Technology","Research","Science",
"Távközlés ABC-je ,Budapest","Huawei","Budapest, Hungary","Entry level","Full-time","Telecommunications","","","Information Technology","Engineering","",
"Stratégiai beszerző","KESZ Group","","Mid-Senior level","Full-time","Construction","","","Purchasing","","",
"SUPPLY CHAIN MANAGERIAL TRAINEE","Procter & Gamble","Budapest, Budapest, Hungary","","Part-time","Consumer Goods","","","Management","Manufacturing","",
"Customs Operation Expert","Alibaba Group","Budapest, Hungary","Mid-Senior level","Full-time","Logistics & Supply Chain","Information Technology & Services","","Supply Chain","Distribution","",
"Internship Program – HUN","Agoda","","Internship","Full-time","Internet","","","Education","Training","",
"Project Assistant – Remote Dubai","EPAM Systems","","Mid-Senior level","Full-time","Information Technology & Services","Computer Software","Internet","Project Management","Information Technology","",
"Gazdasági Igazgató","Moholy-Nagy University of Art and Design, Budapest","","","Full-time","","","","","","",
"Workplace Technician","WarnerMedia","Budapest, Hungary","Mid-Senior level","Full-time","Entertainment","","","Information Technology","","",
"TOP MANAGEMENT TEAM","Top Line Europa","Budapest, Hungary","","Full-time","","","","","","",
"Early Careers and Campus Co-ordinator","AMS","Budapest, Hungary","Associate","Full-time","Human Resources","","","Human Resources","Other","",
"Research Analyst","Wealth-X","Budapest, Hungary","Associate","Full-time","Research","","","Research","","",
"Team Assistant","Tungsram Group","","Mid-Senior level","Full-time","Electrical & Electronic Manufacturing","","","Administrative","","",
"Kommunikációs munkatárs","Pázmány Péter Katolikus Egyetem","","","Full-time","","","","","","",
"Pre - Sales Support Associate","ManpowerGroup Hungary","Budapest, Hungary","Entry level","Full-time","Computer Software","Information Technology & Services","","Administrative","Information Technology","",
"Accounts Payable Associate","Tesco","Budapest, Budapest, Hungary","Entry level","Full-time","Retail","","","Accounting/Auditing","Finance","",
"Onboarding - People Lead","Betsson Group","Budapest, Budapest, Hungary","","Full-time","Internet","","","Other","","",
"Customer Success Specialist with weekend/holiday shifts","SEON. Fraud Fighters","","Mid-Senior level","Full-time","Computer Networking","","","Customer Service","Consulting","Information Technology",
"3D Artist","DBOX","Budapest, Hungary","","Full-time","","","","","","",
"Dual Student position","IBM","Budapest, Budapest, Hungary","","Full-time","Computer Hardware","","","Information Technology","","",
"EU-s pályázatíró és projektmenedzser","Magyar Nemzeti Levéltár - National Archives of Hungary","Budapest, Hungary","","Full-time","","","","","","",
"Senior Financial Analyst","Apple","Budapest, Budapest, Hungary","","Full-time","Consumer Electronics","","","Finance","Sales","",
"Recruitment Intern","eu-LISA","Budapest, Hungary","Internship","Full-time","Information Technology & Services","","","Writing/Editing","Human Resources","Administrative",
"Termékmenedzser (társadalmi célú startup)","Access4you","Budapest, Hungary","","Full-time","","","","","","",
"RunSecOps Operator","Deloitte","Budapest, Hungary","Mid-Senior level","Full-time","Information Technology & Services","Financial Services","","Information Technology","Finance","",
"Laboratóriumi asszisztens","Semmelweis_MolecularImaging","","","Full-time","","","","","","",
"Outreach Specialist (Remote - work from anywhere in CEE)","Confidential","Budapest, Hungary","","Full-time","","","","","","",
"Irodavezető","Kulturális/szórakoztató cég","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"Junior részvényelemző","KBC Securities Hungary","Budapest, Budapest, Hungary","","Full-time","","","","","","",
"3D Artist","DBOX","Budapest, Hungary","","Full-time","","","","","","",
"Team Assistant","Mind-Diak Szövetkezet","","Entry level","Full-time","Marketing & Advertising","Information Technology & Services","Internet","Administrative","","",
"","","","","","","","","","","",
