"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Junior Credit Intern - Budapest","Mind-Diak Szövetkezet","","Internship","Internship","Information Technology & Services","Consumer Goods","Financial Services","Finance","Sales","",
"Job Title: Social Media Marketing – Virtual Intern or CO-OP","GAOTek Inc.","Budapest, Hungary","","","","","","","","",
"Diákmunka - Trainee at Back Office Services Team - Budapest","MŰISZ Iskolaszövetkezet","","","","","","","","","",
"Contact center representative (english & italian) - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","","","","","","","","",
"Junior Credit Intern","Mind-Diak Szövetkezet","","","","","","","","","",
"Social Media Marketing – Virtual Intern or CO-OP","GAOTek Inc.","Budapest, Budapest, Hungary","","","","","","","","",
"Contact center representative (english & romanian) - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","","","","","","","","",
"Diákmunka - Student Accountant - Budapest","MŰISZ Iskolaszövetkezet","","","","","","","","","",
"Cash Collection Intern - Budapest","Mind-Diak Szövetkezet","","","","","","","","","",
"Social Media Marketing – Virtual Intern or CO-OP","GAOTek Inc.","Budapest, Hungary","","","","","","","","",
"Cash Collection Intern","PRODIÁK Iskolaszövetkezet","Budapest, Budapest, Hungary","","","","","","","","",
"Cash Collection Intern","Mind-Diak Szövetkezet","","","","","","","","","",
"Contact center representative (english & german) - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","","","","","","","","",
"Sales Support Intern - Budapest","Mind-Diak Szövetkezet","","","","","","","","","",
