"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"DevOps Engineer/ Lead","Intland Software","Budapest, Budapest, Hungary","Mid-Senior level","Full-time","Computer Software","","","Information Technology","","",
"Software Test Automation Engineer","Intland Software","Budapest, Budapest, Hungary","Associate","Full-time","Computer Software","","","Information Technology","","",
